pair,total_responses,odd_responses,odd_responses/total_responses
0,66,22,0.3333333333
1,56,26,0.4642857143
2,68,18,0.2647058824
3,58,28,0.4827586207
4,70,24,0.3428571429
5,56,30,0.5357142857
6,60,20,0.3333333333
7,92,46,0.5000000000
8,66,26,0.3939393939
9,68,26,0.3823529412
10,54,18,0.3333333333
11,68,22,0.3235294118
12,66,26,0.3939393939
13,68,26,0.3823529412
14,50,28,0.5600000000
15,70,34,0.4857142857
16,64,26,0.4062500000
17,50,14,0.2800000000
18,58,22,0.3793103448
19,56,14,0.2500000000
20,60,22,0.3666666667
21,62,26,0.4193548387
22,62,26,0.4193548387
23,64,22,0.3437500000
24,64,22,0.3437500000
25,62,22,0.3548387097
26,54,18,0.3333333333
27,58,22,0.3793103448
28,66,28,0.4242424242
29,162,36,0.2222222222
30,70,38,0.5428571429
31,56,30,0.5357142857
32,58,18,0.3103448276
33,56,16,0.2857142857
34,62,26,0.4193548387
35,50,14,0.2800000000
36,64,22,0.3437500000
37,64,24,0.3750000000
38,60,24,0.4000000000
39,64,24,0.3750000000
40,58,20,0.3448275862
41,68,14,0.2058823529
42,60,24,0.4000000000
43,58,18,0.3103448276
44,56,20,0.3571428571
45,66,28,0.4242424242
46,62,26,0.4193548387
47,64,30,0.4687500000
48,58,16,0.2758620690
49,64,24,0.3750000000
50,60,32,0.5333333333
51,62,24,0.3870967742
52,64,30,0.4687500000
53,64,30,0.4687500000
54,58,18,0.3103448276
55,52,14,0.2692307692
56,72,26,0.3611111111
57,48,16,0.3333333333
58,58,20,0.3448275862
59,60,16,0.2666666667
60,62,22,0.3548387097
61,66,28,0.4242424242
62,66,28,0.4242424242
63,60,18,0.3000000000
64,66,22,0.3333333333
65,54,20,0.3703703704
66,68,24,0.3529411765
67,62,22,0.3548387097
68,58,22,0.3793103448
69,70,22,0.3142857143
70,72,20,0.2777777778
71,54,14,0.2592592593
72,62,32,0.5161290323
73,56,12,0.2142857143
74,116,56,0.4827586207
75,64,28,0.4375000000
76,64,24,0.3750000000
77,70,24,0.3428571429
78,62,22,0.3548387097
79,50,16,0.3200000000
80,54,16,0.2962962963
81,60,22,0.3666666667
82,92,28,0.3043478261
83,124,40,0.3225806452
84,62,26,0.4193548387
85,54,22,0.4074074074
86,66,24,0.3636363636
87,62,20,0.3225806452
88,76,30,0.3947368421
89,62,22,0.3548387097
