pair,total_responses,odd_responses,odd_responses/total_responses,complete,candidates
0,10000,3781,0.3781000000,0,34145
1,10000,3691,0.3691000000,0,41088
2,10000,3814,0.3814000000,0,36897
3,10000,3660,0.3660000000,0,36274
4,10000,3769,0.3769000000,0,36854
5,10000,3724,0.3724000000,0,36133
6,10000,3807,0.3807000000,0,37885
7,10000,3748,0.3748000000,0,41891
8,10000,3719,0.3719000000,0,44252
9,10000,3709,0.3709000000,0,37285
10,10000,3759,0.3759000000,0,40716
11,10000,3807,0.3807000000,0,34502
12,10000,3691,0.3691000000,0,43522
13,10000,3734,0.3734000000,0,43330
14,10000,3757,0.3757000000,0,37664
15,10000,3745,0.3745000000,0,35317
16,10000,3769,0.3769000000,0,40917
17,10000,3730,0.3730000000,0,35025
18,10000,3703,0.3703000000,0,36086
19,10000,3729,0.3729000000,0,38661
20,10000,3702,0.3702000000,0,42534
21,10000,3644,0.3644000000,0,42004
22,10000,3629,0.3629000000,0,40871
23,10000,3679,0.3679000000,0,39635
24,10000,3769,0.3769000000,0,32636
25,10000,3815,0.3815000000,0,35933
26,10000,3825,0.3825000000,0,40305
27,10000,3712,0.3712000000,0,32919
28,10000,3721,0.3721000000,0,38000
29,10000,3739,0.3739000000,0,35566
30,10000,3767,0.3767000000,0,39055
31,10000,3726,0.3726000000,0,35903
32,10000,3785,0.3785000000,0,35851
33,10000,3719,0.3719000000,0,36558
34,10000,3823,0.3823000000,0,36748
35,10000,3726,0.3726000000,0,37765
36,10000,3809,0.3809000000,0,36765
37,10000,3779,0.3779000000,0,36225
38,10000,3749,0.3749000000,0,39971
39,10000,3702,0.3702000000,0,37951
40,10000,3745,0.3745000000,0,36570
41,10000,3763,0.3763000000,0,38429
42,10000,3691,0.3691000000,0,38773
43,10000,3756,0.3756000000,0,33876
44,10000,3715,0.3715000000,0,37924
45,10000,3788,0.3788000000,0,44752
46,10000,3831,0.3831000000,0,36834
47,10000,3780,0.3780000000,0,41976
48,10000,3681,0.3681000000,0,35902
49,10000,3672,0.3672000000,0,38396
50,10000,3787,0.3787000000,0,43185
51,10000,3671,0.3671000000,0,33726
52,10000,3764,0.3764000000,0,34790
53,10000,3770,0.3770000000,0,32918
54,10000,3668,0.3668000000,0,34987
55,10000,3777,0.3777000000,0,32832
56,10000,3744,0.3744000000,0,37400
57,10000,3818,0.3818000000,0,36067
58,10000,3713,0.3713000000,0,34124
59,10000,3877,0.3877000000,0,39696
60,10000,3748,0.3748000000,0,36927
61,10000,3860,0.3860000000,0,37703
62,10000,3723,0.3723000000,0,35853
63,10000,3735,0.3735000000,0,44116
64,10000,3797,0.3797000000,0,38621
65,10000,3768,0.3768000000,0,34022
66,10000,3771,0.3771000000,0,38165
67,10000,3681,0.3681000000,0,41552
68,10000,3707,0.3707000000,0,37600
69,10000,3747,0.3747000000,0,39687
70,10000,3746,0.3746000000,0,36203
71,10000,3735,0.3735000000,0,36881
72,10000,3656,0.3656000000,0,36878
73,10000,3774,0.3774000000,0,37994
74,10000,3700,0.3700000000,0,38553
75,10000,3768,0.3768000000,0,33685
76,10000,3724,0.3724000000,0,34324
77,10000,3729,0.3729000000,0,39385
78,10000,3721,0.3721000000,0,41812
79,10000,3738,0.3738000000,0,37628
80,10000,3700,0.3700000000,0,43501
