Random seed: "--seed={ 0xe1e60b91, 0x7e2fedf4, 0xc43dcfec, 0xa9496d39, 0xc226c56e, 0x3f13ae3c, 0x7b642335, 0xe6af4bcd, 0x0b13760c, 0x702c4fd7, 0xc4b13aba, 0x2af7421f }"
# variant=lvl1 response_length=156 max_candidates=1000000 max_responses=10000
pair,candidate_space,candidate_space_overflow,candidates,responses,odd_degree,even_degree,invalid,odd_percent,complete
0,>=18446744073709551615,1,34145,10000,3781,6219,0,37.81000000,0
1,>=18446744073709551615,1,41088,10000,3691,6309,0,36.91000000,0
2,>=18446744073709551615,1,36897,10000,3814,6186,0,38.14000000,0
3,>=18446744073709551615,1,36274,10000,3660,6340,0,36.60000000,0
4,>=18446744073709551615,1,36854,10000,3769,6231,0,37.69000000,0
5,>=18446744073709551615,1,36133,10000,3724,6276,0,37.24000000,0
6,>=18446744073709551615,1,37885,10000,3807,6193,0,38.07000000,0
7,>=18446744073709551615,1,41891,10000,3748,6252,0,37.48000000,0
8,>=18446744073709551615,1,44252,10000,3719,6281,0,37.19000000,0
9,>=18446744073709551615,1,37285,10000,3709,6291,0,37.09000000,0
10,>=18446744073709551615,1,40716,10000,3759,6241,0,37.59000000,0
11,>=18446744073709551615,1,34502,10000,3807,6193,0,38.07000000,0
12,>=18446744073709551615,1,43522,10000,3691,6309,0,36.91000000,0
13,>=18446744073709551615,1,43330,10000,3734,6266,0,37.34000000,0
14,>=18446744073709551615,1,37664,10000,3757,6243,0,37.57000000,0
15,>=18446744073709551615,1,35317,10000,3745,6255,0,37.45000000,0
16,>=18446744073709551615,1,40917,10000,3769,6231,0,37.69000000,0
17,>=18446744073709551615,1,35025,10000,3730,6270,0,37.30000000,0
18,>=18446744073709551615,1,36086,10000,3703,6297,0,37.03000000,0
19,>=18446744073709551615,1,38661,10000,3729,6271,0,37.29000000,0
20,>=18446744073709551615,1,42534,10000,3702,6298,0,37.02000000,0
21,>=18446744073709551615,1,42004,10000,3644,6356,0,36.44000000,0
22,>=18446744073709551615,1,40871,10000,3629,6371,0,36.29000000,0
23,>=18446744073709551615,1,39635,10000,3679,6321,0,36.79000000,0
24,>=18446744073709551615,1,32636,10000,3769,6231,0,37.69000000,0
25,>=18446744073709551615,1,35933,10000,3815,6185,0,38.15000000,0
26,>=18446744073709551615,1,40305,10000,3825,6175,0,38.25000000,0
27,>=18446744073709551615,1,32919,10000,3712,6288,0,37.12000000,0
28,>=18446744073709551615,1,38000,10000,3721,6279,0,37.21000000,0
29,>=18446744073709551615,1,35566,10000,3739,6261,0,37.39000000,0
30,>=18446744073709551615,1,39055,10000,3767,6233,0,37.67000000,0
31,>=18446744073709551615,1,35903,10000,3726,6274,0,37.26000000,0
32,>=18446744073709551615,1,35851,10000,3785,6215,0,37.85000000,0
33,>=18446744073709551615,1,36558,10000,3719,6281,0,37.19000000,0
34,>=18446744073709551615,1,36748,10000,3823,6177,0,38.23000000,0
35,>=18446744073709551615,1,37765,10000,3726,6274,0,37.26000000,0
36,>=18446744073709551615,1,36765,10000,3809,6191,0,38.09000000,0
37,>=18446744073709551615,1,36225,10000,3779,6221,0,37.79000000,0
38,>=18446744073709551615,1,39971,10000,3749,6251,0,37.49000000,0
39,>=18446744073709551615,1,37951,10000,3702,6298,0,37.02000000,0
40,>=18446744073709551615,1,36570,10000,3745,6255,0,37.45000000,0
41,>=18446744073709551615,1,38429,10000,3763,6237,0,37.63000000,0
42,>=18446744073709551615,1,38773,10000,3691,6309,0,36.91000000,0
43,>=18446744073709551615,1,33876,10000,3756,6244,0,37.56000000,0
44,>=18446744073709551615,1,37924,10000,3715,6285,0,37.15000000,0
45,>=18446744073709551615,1,44752,10000,3788,6212,0,37.88000000,0
46,>=18446744073709551615,1,36834,10000,3831,6169,0,38.31000000,0
47,>=18446744073709551615,1,41976,10000,3780,6220,0,37.80000000,0
48,>=18446744073709551615,1,35902,10000,3681,6319,0,36.81000000,0
49,>=18446744073709551615,1,38396,10000,3672,6328,0,36.72000000,0
50,>=18446744073709551615,1,43185,10000,3787,6213,0,37.87000000,0
51,>=18446744073709551615,1,33726,10000,3671,6329,0,36.71000000,0
52,>=18446744073709551615,1,34790,10000,3764,6236,0,37.64000000,0
53,>=18446744073709551615,1,32918,10000,3770,6230,0,37.70000000,0
54,>=18446744073709551615,1,34987,10000,3668,6332,0,36.68000000,0
55,>=18446744073709551615,1,32832,10000,3777,6223,0,37.77000000,0
56,>=18446744073709551615,1,37400,10000,3744,6256,0,37.44000000,0
57,>=18446744073709551615,1,36067,10000,3818,6182,0,38.18000000,0
58,>=18446744073709551615,1,34124,10000,3713,6287,0,37.13000000,0
59,>=18446744073709551615,1,39696,10000,3877,6123,0,38.77000000,0
60,>=18446744073709551615,1,36927,10000,3748,6252,0,37.48000000,0
61,>=18446744073709551615,1,37703,10000,3860,6140,0,38.60000000,0
62,>=18446744073709551615,1,35853,10000,3723,6277,0,37.23000000,0
63,>=18446744073709551615,1,44116,10000,3735,6265,0,37.35000000,0
64,>=18446744073709551615,1,38621,10000,3797,6203,0,37.97000000,0
65,>=18446744073709551615,1,34022,10000,3768,6232,0,37.68000000,0
66,>=18446744073709551615,1,38165,10000,3771,6229,0,37.71000000,0
67,>=18446744073709551615,1,41552,10000,3681,6319,0,36.81000000,0
68,>=18446744073709551615,1,37600,10000,3707,6293,0,37.07000000,0
69,>=18446744073709551615,1,39687,10000,3747,6253,0,37.47000000,0
70,>=18446744073709551615,1,36203,10000,3746,6254,0,37.46000000,0
71,>=18446744073709551615,1,36881,10000,3735,6265,0,37.35000000,0
72,>=18446744073709551615,1,36878,10000,3656,6344,0,36.56000000,0
73,>=18446744073709551615,1,37994,10000,3774,6226,0,37.74000000,0
74,>=18446744073709551615,1,38553,10000,3700,6300,0,37.00000000,0
75,>=18446744073709551615,1,33685,10000,3768,6232,0,37.68000000,0
76,>=18446744073709551615,1,34324,10000,3724,6276,0,37.24000000,0
77,>=18446744073709551615,1,39385,10000,3729,6271,0,37.29000000,0
78,>=18446744073709551615,1,41812,10000,3721,6279,0,37.21000000,0
79,>=18446744073709551615,1,37628,10000,3738,6262,0,37.38000000,0
80,>=18446744073709551615,1,43501,10000,3700,6300,0,37.00000000,0
81,>=18446744073709551615,1,34949,10000,3800,6200,0,38.00000000,0
82,>=18446744073709551615,1,34544,10000,3777,6223,0,37.77000000,0
83,>=18446744073709551615,1,38265,10000,3777,6223,0,37.77000000,0
84,>=18446744073709551615,1,37796,10000,3697,6303,0,36.97000000,0
85,>=18446744073709551615,1,40858,10000,3744,6256,0,37.44000000,0
86,>=18446744073709551615,1,36700,10000,3733,6267,0,37.33000000,0
87,>=18446744073709551615,1,39355,10000,3778,6222,0,37.78000000,0
88,>=18446744073709551615,1,33124,10000,3731,6269,0,37.31000000,0
89,>=18446744073709551615,1,34839,10000,3704,6296,0,37.04000000,0
90,>=18446744073709551615,1,36535,10000,3737,6263,0,37.37000000,0
91,>=18446744073709551615,1,34969,10000,3735,6265,0,37.35000000,0
92,>=18446744073709551615,1,37280,10000,3737,6263,0,37.37000000,0
93,>=18446744073709551615,1,43358,10000,3795,6205,0,37.95000000,0
94,>=18446744073709551615,1,35199,10000,3746,6254,0,37.46000000,0
95,>=18446744073709551615,1,34929,10000,3637,6363,0,36.37000000,0
96,>=18446744073709551615,1,34265,10000,3746,6254,0,37.46000000,0
97,>=18446744073709551615,1,37463,10000,3760,6240,0,37.60000000,0
98,>=18446744073709551615,1,38679,10000,3782,6218,0,37.82000000,0
99,>=18446744073709551615,1,33937,10000,3746,6254,0,37.46000000,0
100,>=18446744073709551615,1,38030,10000,3674,6326,0,36.74000000,0
101,>=18446744073709551615,1,37545,10000,3775,6225,0,37.75000000,0
102,>=18446744073709551615,1,34815,10000,3734,6266,0,37.34000000,0
