Random seed: "--seed={ 0xe0b55206, 0x2d753027, 0xe4e071ba, 0x95eae222, 0x2e030bba, 0x7126a020, 0xd34875e8, 0x9db04630, 0xc48eda55, 0xd0e42016, 0xff057a18, 0x1b9242a2 }"
# variant=lvl1 response_length=126 max_candidates=0
pair,candidate_space,candidate_space_overflow,candidates,responses,odd_degree,even_degree,invalid,odd_percent,complete
0,225,0,225,66,22,44,0,33.33333333,1
1,375,0,375,56,26,30,0,46.42857143,1
2,175,0,175,68,18,50,0,26.47058824,1
3,243,0,243,58,28,30,0,48.27586207,1
4,243,0,243,70,24,46,0,34.28571429,1
5,105,0,105,56,30,26,0,53.57142857,1
6,375,0,375,60,20,40,0,33.33333333,1
7,147,0,147,92,46,46,0,50.00000000,1
8,135,0,135,66,26,40,0,39.39393939,1
9,375,0,375,68,26,42,0,38.23529412,1
10,405,0,405,54,18,36,0,33.33333333,1
11,225,0,225,68,22,46,0,32.35294118,1
12,225,0,225,66,26,40,0,39.39393939,1
13,189,0,189,68,26,42,0,38.23529412,1
14,315,0,315,50,28,22,0,56.00000000,1
15,165,0,165,70,34,36,0,48.57142857,1
16,225,0,225,64,26,38,0,40.62500000,1
17,375,0,375,50,14,36,0,28.00000000,1
18,225,0,225,58,22,36,0,37.93103448,1
19,375,0,375,56,14,42,0,25.00000000,1
20,225,0,225,60,22,38,0,36.66666667,1
21,225,0,225,62,26,36,0,41.93548387,1
22,135,0,135,62,26,36,0,41.93548387,1
23,225,0,225,64,22,42,0,34.37500000,1
24,225,0,225,64,22,42,0,34.37500000,1
25,375,0,375,62,22,40,0,35.48387097,1
26,315,0,315,54,18,36,0,33.33333333,1
27,375,0,375,58,22,36,0,37.93103448,1
28,189,0,189,66,28,38,0,42.42424242,1
29,363,0,363,162,36,126,0,22.22222222,1
30,135,0,135,70,38,32,0,54.28571429,1
31,297,0,297,56,30,26,0,53.57142857,1
32,225,0,225,58,18,40,0,31.03448276,1
33,225,0,225,56,16,40,0,28.57142857,1
34,225,0,225,62,26,36,0,41.93548387,1
35,315,0,315,50,14,36,0,28.00000000,1
36,375,0,375,64,22,42,0,34.37500000,1
37,225,0,225,64,24,40,0,37.50000000,1
38,375,0,375,60,24,36,0,40.00000000,1
39,135,0,135,64,24,40,0,37.50000000,1
40,315,0,315,58,20,38,0,34.48275862,1
41,351,0,351,68,14,54,0,20.58823529,1
42,225,0,225,60,24,36,0,40.00000000,1
43,375,0,375,58,18,40,0,31.03448276,1
44,135,0,135,56,20,36,0,35.71428571,1
45,315,0,315,66,28,38,0,42.42424242,1
46,243,0,243,62,26,36,0,41.93548387,1
47,225,0,225,64,30,34,0,46.87500000,1
48,375,0,375,58,16,42,0,27.58620690,1
49,189,0,189,64,24,40,0,37.50000000,1
50,175,0,175,60,32,28,0,53.33333333,1
51,225,0,225,62,24,38,0,38.70967742,1
52,225,0,225,64,30,34,0,46.87500000,1
53,375,0,375,64,30,34,0,46.87500000,1
54,315,0,315,58,18,40,0,31.03448276,1
55,225,0,225,52,14,38,0,26.92307692,1
56,315,0,315,72,26,46,0,36.11111111,1
57,315,0,315,48,16,32,0,33.33333333,1
58,375,0,375,58,20,38,0,34.48275862,1
59,225,0,225,60,16,44,0,26.66666667,1
60,315,0,315,62,22,40,0,35.48387097,1
61,243,0,243,66,28,38,0,42.42424242,1
62,225,0,225,66,28,38,0,42.42424242,1
63,225,0,225,60,18,42,0,30.00000000,1
64,135,0,135,66,22,44,0,33.33333333,1
65,105,0,105,54,20,34,0,37.03703704,1
66,189,0,189,68,24,44,0,35.29411765,1
67,225,0,225,62,22,40,0,35.48387097,1
68,225,0,225,58,22,36,0,37.93103448,1
69,225,0,225,70,22,48,0,31.42857143,1
70,315,0,315,72,20,52,0,27.77777778,1
71,225,0,225,54,14,40,0,25.92592593,1
72,315,0,315,62,32,30,0,51.61290323,1
73,405,0,405,56,12,44,0,21.42857143,1
74,195,0,195,116,56,60,0,48.27586207,1
75,135,0,135,64,28,36,0,43.75000000,1
76,225,0,225,64,24,40,0,37.50000000,1
77,225,0,225,70,24,46,0,34.28571429,1
78,189,0,189,62,22,40,0,35.48387097,1
